Date,Index
19-12-2014,1.68
22-12-2014,1.7
23-12-2014,1.7
24-12-2014,1.68
25-12-2014,1.68
26-12-2014,1.67
29-12-2014,1.65
30-12-2014,1.64
31-12-2014,1.68
01-01-2015,1.68
02-01-2015,1.71
05-01-2015,1.64
06-01-2015,1.56
07-01-2015,1.57
08-01-2015,1.62
09-01-2015,1.62
12-01-2015,1.57
13-01-2015,1.54
14-01-2015,1.57
15-01-2015,1.58
16-01-2015,1.6
19-01-2015,1.6
20-01-2015,1.59
21-01-2015,1.61
22-01-2015,1.61
23-01-2015,1.6
26-01-2015,1.61
27-01-2015,1.66
28-01-2015,1.61
29-01-2015,1.62
30-01-2015,1.65
02-02-2015,1.65
03-02-2015,1.7
04-02-2015,1.71
05-02-2015,1.7
06-02-2015,1.71
09-02-2015,1.71
10-02-2015,1.7
11-02-2015,1.68
12-02-2015,1.66
13-02-2015,1.68
16-02-2015,1.68
17-02-2015,1.71
18-02-2015,1.71
19-02-2015,1.74
20-02-2015,1.75
23-02-2015,1.72
24-02-2015,1.72
25-02-2015,1.72
26-02-2015,1.79
27-02-2015,1.83
02-03-2015,1.83
03-03-2015,1.86
04-03-2015,1.87
05-03-2015,1.84
06-03-2015,1.83
09-03-2015,1.76
10-03-2015,1.73
11-03-2015,1.72
12-03-2015,1.71
13-03-2015,1.69
16-03-2015,1.65
17-03-2015,1.64
18-03-2015,1.7
19-03-2015,1.79
20-03-2015,1.76
23-03-2015,1.75
24-03-2015,1.77
25-03-2015,1.81
26-03-2015,1.8
27-03-2015,1.76
30-03-2015,1.73
31-03-2015,1.76
01-04-2015,1.8
02-04-2015,1.81
03-04-2015,1.83
06-04-2015,1.85
07-04-2015,1.85
08-04-2015,1.84
09-04-2015,1.84
10-04-2015,1.82
13-04-2015,1.8
14-04-2015,1.8
15-04-2015,1.84
16-04-2015,1.85
17-04-2015,1.89
20-04-2015,1.89
21-04-2015,1.86
22-04-2015,1.87
23-04-2015,1.89
24-04-2015,1.89
27-04-2015,1.91
28-04-2015,1.89
29-04-2015,1.92
30-04-2015,1.94
01-05-2015,1.94
04-05-2015,1.92
05-05-2015,1.94
06-05-2015,1.91
07-05-2015,1.88
08-05-2015,1.88
11-05-2015,1.88
12-05-2015,1.88
13-05-2015,1.86
14-05-2015,1.87
15-05-2015,1.83
18-05-2015,1.86
19-05-2015,1.85
20-05-2015,1.88
21-05-2015,1.84
22-05-2015,1.87
25-05-2015,1.87
26-05-2015,1.82
27-05-2015,1.8
28-05-2015,1.8
29-05-2015,1.8
01-06-2015,1.8
02-06-2015,1.83
03-06-2015,1.83
04-06-2015,1.81
05-06-2015,1.86
08-06-2015,1.85
09-06-2015,1.86
10-06-2015,1.87
11-06-2015,1.83
12-06-2015,1.84
15-06-2015,1.85
16-06-2015,1.88
17-06-2015,1.9
18-06-2015,1.89
19-06-2015,1.86
22-06-2015,1.9
23-06-2015,1.92
24-06-2015,1.9
25-06-2015,1.91
26-06-2015,1.92
29-06-2015,1.87
30-06-2015,1.87
01-07-2015,1.89
02-07-2015,1.91
03-07-2015,1.91
06-07-2015,1.87
07-07-2015,1.87
08-07-2015,1.83
09-07-2015,1.85
10-07-2015,1.87
13-07-2015,1.86
14-07-2015,1.85
15-07-2015,1.84
16-07-2015,1.84
17-07-2015,1.83
20-07-2015,1.82
21-07-2015,1.82
22-07-2015,1.8
23-07-2015,1.79
24-07-2015,1.76
